label,message
spam,"win a free iPhone now! Click here to claim your prize"
ham,"Hey, are we still meeting tomorrow for lunch?"
spam,"Congratulations! You have been selected for a free vacation"
ham,"Can you send me the project files by tonight?"
spam,"You won $1000 gift card. Claim now!"
ham,"Please review the attached report for the meeting"
ham,"Let's catch up later this week."
spam,"This is not a drill! You are our lucky winner"
ham,"Don't forget to bring your ID card tomorrow"
spam,"Get rich quick by joining our scheme now!"
